group,names,scores,logfoldchanges,pvals,pvals_adj
2,Gabra5,4.4510508,1.1062974,8.545122821502662e-06,5.3873768040608174e-05
2,Faah,4.366663,1.0889018,1.2615916096101556e-05,7.710868473401379e-05
2,Ptchd1,4.288958,1.058442,1.795130805482516e-05,0.000106677
2,Gm29514,4.1384845,1.2610525,3.49607313335699e-05,0.000195013
2,Gm49678,3.946123,1.211521,7.942685110120649e-05,0.000410965
2,Lnx1,3.8313348,1.043234,0.00012745,0.000627012
2,Cbln2,3.590446,1.123923,0.000330113,0.001480819
2,Zfp560,3.5404336,1.1456236,0.00039947,0.001776014
2,Glra3,3.3837576,1.1664691,0.000715011,0.002959652
2,B230209E15Rik,3.1536574,1.2409571,0.001612383,0.006094157
2,Nat14,3.065164,1.1530663,0.002175507,0.007956773
2,Gab3,3.0441544,1.0797831,0.002333353,0.008456996
2,9030622O22Rik,2.9785051,1.2537299,0.002896582,0.010238683078267754
2,Crhr1,2.9735694,1.1683364,0.002943578,0.010368167
2,Iscu,2.8295166,1.0836152,0.004661839,0.015596631949315178
2,Gm28526,2.799247,1.248376,0.005122192,0.016873435289985805
2,Calb1,2.497164,1.3241367,0.012519100899282477,0.036159597
2,Abca8b,2.4500346,1.0346707,0.014284248504096363,0.040288562
2,Gm41361,2.4244387,1.2586353,0.015332067507047199,0.043001434
3,Gpc3,5.718497,1.4501585,1.0747064422899588e-08,1.1107616543972408e-05
3,Igf2,5.7129426,1.1427481,1.1103915238892778e-08,1.1107616543972408e-05
3,Ptgds,5.5851994,2.8204844,2.3343227627872296e-08,1.751325652781119e-05
3,Gja1,5.4614854,2.6631262,4.721666830577466e-08,2.4306833163732197e-05
3,Cped1,5.456367,1.7736021,4.859746717174048e-08,2.4306833163732197e-05
3,Col4a1,5.3998466,1.325006,6.6697959421604e-08,2.859436803203337e-05
3,Hbb-bs,5.289528,1.2664566,1.2263260252403014e-07,4.0891160019401604e-05
3,Hba-a1,5.132925,1.0921335,2.852733116282756e-07,8.56105208196455e-05
3,Col1a2,5.019884,1.1438934,5.170272474669901e-07,0.000135629
3,Nr3c2,5.009429,1.8954359,5.45917076690665e-07,0.000135629
3,Col3a1,4.9952717,1.5855997,5.875296079837497e-07,0.000135629
3,Ccnd2,4.8338776,1.0517794,1.3389896618140303e-06,0.000287022
3,Hba-a2,4.6094284,1.0929192,4.037774345264173e-06,0.000757335
3,Apod,4.4809227,2.07325,7.432095083364036e-06,0.001311983
3,Col8a1,4.2759676,1.5131338,1.9030901177990303e-05,0.003010293
3,Tgfbr3,3.9548125,1.4443978,7.659469130689342e-05,0.011493033430599358
3,Serpinh1,3.8738976,1.0677813,0.000107108,0.014610564615866973
3,Igfbp2,3.7840526,1.1962974,0.000154295,0.019298774262205453
3,Col18a1,3.7829635,1.4289569,0.000154972,0.019298774262205453
3,Hbb-bt,3.7738156,1.0694075,0.00016077,0.019298774262205453
3,Lhfpl2,3.7427783,1.2888058,0.000181997,0.021006623450647303
3,Sned1,3.7107608,1.3589087,0.000206637,0.022967344
3,Sidt1,3.5262792,2.173537,0.000421442,0.043612023247035066
3,Maf,3.5083103,1.4884344,0.000450963,0.044454099
3,Col13a1,3.5030828,2.3311725,0.000459906,0.044454099
3,Hlf,3.4526608,1.7534856,0.000555087,0.048994553
5,Nrxn3,15.4984455,1.3362702,3.553858371530773e-54,1.066512897296385e-50
5,Sox2ot,14.525772,1.610733,8.320007115976608e-48,1.2484170677522898e-44
5,Meis2,12.704736,1.3095472,5.565688077037951e-37,5.567543306396964e-34
5,Sox11,12.466929,1.4932439,1.1310119109229544e-35,8.485416861699465e-33
5,Dlx6os1,12.211282,2.426176,2.7059173360584784e-34,1.6240915851022987e-31
5,Mpped2,10.735475,1.3978591,6.936174534793987e-27,3.469243296486126e-24
5,Gad2,10.414729,1.8751115,2.1240103587081402e-25,9.105935837833042e-23
5,Bcl11b,10.295067,1.7706561,7.416820164563524e-25,2.670731500378725e-22
5,Zbtb20,10.287664,1.0765812,8.00952465958298e-25,2.670731500378725e-22
5,Igfbpl1,9.53733,1.8033364,1.4655709834986787e-21,4.398178521479535e-19
5,Islr2,8.52907,2.0698059,1.4752867287915748e-17,3.689446227586263e-15
5,Gm44593,8.319352,2.1113617,8.844539321066015e-17,2.0417278848091625e-14
5,B020031H02Rik,8.231669,1.848564,1.8462256645302345e-16,3.95751658518231e-14
5,Erbb4,8.15338,1.0069915,3.5388915875549646e-16,7.080142436168299e-14
5,Gm14204,7.8723016,2.2037342,3.481752952997327e-15,6.530462882465612e-13
5,Ccnd2,7.8364315,1.4517791,4.635315000285754e-15,8.182694303445615e-13
5,Sox1ot,7.7832904,1.8578302,7.066231387878204e-15,1.1780977997234718e-12
5,Gm26871,7.7154403,1.3429722,1.2056536739535768e-14,1.9042982502814127e-12
5,Hist1h2ap,7.4637785,2.3800697,8.40758294294613e-14,1.2615578205890667e-11
5,Epha4,7.399155,1.2097492,1.3705371363677174e-13,1.9585628315426285e-11
5,Arx,7.113616,2.505385,1.1304143217754586e-12,1.4749449476731093e-10
5,Dleu2,6.8871965,1.4873114,5.690263413129229e-12,6.567877116461853e-10
5,Dchs1,6.7229333,1.5374503,1.7810234582528812e-11,1.979574591932184e-09
5,C130071C03Rik,6.5028715,1.0966743,7.880107941834972e-11,7.88273464448225e-09
5,Id4,6.07034,1.5777239,1.276397152000919e-09,1.1607478342893208e-07
5,Mir9-3hg,6.037981,1.164321,1.5605461655052458e-09,1.377411483141542e-07
5,Dlx1as,5.9331217,2.0738468,2.9722816998469796e-09,2.5485192517830814e-07
5,Nlk,5.8069115,1.1099504,6.363578094291596e-09,5.304749405824745e-07
5,Dlx1,5.7768297,2.1022377,7.612126367692135e-09,6.17405168363354e-07
5,Pik3r3,5.7671504,1.1235558,8.062309700928645e-09,6.367103003286017e-07
5,Hist3h2ba,5.687818,1.7757477,1.2867272611498722e-08,9.481204750080066e-07
5,Phc2,5.6866794,1.1896772,1.2953328715537578e-08,9.481204750080066e-07
5,H2afv,5.5792584,1.6420102,2.4154639748423222e-08,1.7259065210718592e-06
5,Shtn1,5.55506,1.2141914,2.775163924299271e-08,1.9368062643772355e-06
5,Gm2164,5.5427237,1.4839771,2.9780264299975998e-08,2.03114939009609e-06
5,Isl1,5.4505806,2.030909,5.020564482672671e-08,3.2753726114131923e-06
5,Lmo3,5.3935485,1.3465892,6.907959945140492e-08,4.4108059139077906e-06
5,Gpc1,5.33329,1.2679243,9.64489119863218e-08,5.788863697419034e-06
5,Skida1,5.0471816,1.9710817,4.4837458966226563e-07,2.4918002658823317e-05
5,Khdrbs1,5.020801,1.1043162,5.145644477163122e-07,2.6624274268907808e-05
5,Brip1os,5.015961,1.2364815,5.276893267464477e-07,2.684060456891677e-05
5,Sp9,4.985405,2.6235714,6.183210179836118e-07,3.0926356249480316e-05
5,Efnb1,4.9064527,1.3595725,9.273843318232571e-07,4.5624268521337614e-05
5,Pantr1,4.8618517,1.1308032,1.1629265366520333e-06,5.6289395749883096e-05
5,Svop,4.7530074,1.1050454,2.004131645124036e-06,9.335822973671455e-05
5,Cdk19,4.683734,1.2293012,2.8169570173936494e-06,0.000128086
5,Slc32a1,4.517478,1.5972143,6.258059096155263e-06,0.000264513
5,Kif23,4.4781914,1.5269792,7.527814861527893e-06,0.000309465
5,Lrig2,4.422298,1.1457368,9.765660348823412e-06,0.000396037
5,Rffl,4.3883257,1.5565307,1.1422665059680697e-05,0.000451045
5,Lmo4,4.3289213,1.2962419,1.4984141884887276e-05,0.000583992
5,Pclaf,4.2620206,1.431059,2.0258697012379622e-05,0.00077944
5,Mark1,4.257655,1.1222324,2.065822397832457e-05,0.000784751
5,4632427E13Rik,4.2276683,1.0770475,2.3612546885163955e-05,0.000885766
5,Tmpo,4.2123904,1.1169012,2.526824716975721e-05,0.000936173
5,Gpc2,4.1316347,1.0134759,3.601926701505141e-05,0.001264183
5,Six3,4.127649,1.8841152,3.664909374254681e-05,0.001264183
5,Ezr,4.120627,1.4268962,3.7784307816713134e-05,0.001288531
